Id,Expected,Rooms,SqrMeters,Floor,Location,Centre,Description
3914,386064,2,46,3,Poznań Stare Miasto Wilda ul. Maratońska Łęgi Dębińskie,1,OFERTA ZWOLNIONA Z PROWIZJI OD KUPUJĄCEGO! OFERTA 0%! Oferta z rynku pierwotnego. Dostępne mieszkania w metrażach od 39 m2 do 142 m2. Nowoczesna inwestycja zlokalizowana w atrakcyjnym punkcie Poznania znakomicie skomunikowanym z pozostałymi...
437,280000,2,41,5,Poznań Poznań-Wilda,0,Polecam do sprzedaży mieszkanie dwupokojowe przestronne o bardzo praktycznym rozkładzie pomieszczeń zlokalizowane na ulicy Sikorskiego na Wildzie. Mieszkanie o powierzchni 62 m2 położone jest na trzecim piętrze i ma następujące składowe: dwa...
1139,329000,2,50.5,1,Poznań Ogrody,0,Polecam na sprzedaż mieszkanie 2-pokojowe na parterze z ogródkiem w bardzo dobrej lokalizacji!!! Mieszkanie z pięknym dużym ogrodem! W okolicy dogodne połączenie komunikacyjne. Lokal składa się z salonu z aneksem kuchennym (jest możliwość...
4377,225000,2,43,10,Poznań Grunwald Łazarz Górczyn Ogrody Je ul. Newtona - Polecam!!!,1,BEZPIECZNA TRANSAKCJA JEDYNIE Z DOŚWIADCZONYM I LICENCJONOWANYM POŚREDNIKIEM!!! 100 % SATYSFAKCJI Z ZAKUPU!!! Polecam do zakupu 2 pokojowe mieszkanie położone na Grunwaldzie ( ul. Newtona ). Na 42 m2 składają się dwa ustawne i nieprzechodnie...
192,280000,2,69,3,Poznań Wilda ul. Traugutta,0,Salon nieruchomości Iron House poleca na sprzedaż przestronne i ciekawe mieszkanie 2 pokojowe z oddzielną kuchnią o powierzchni 69 m2 mieszkanie znajduje się na 3 piętrze kamienicy usytuowanej w dzielnicy Wilda. UKŁAD: - korytarz -...
84,273000,3,79,14,Poznań Rataje Malta Starołęka Chartowo Śródk ul. Armii Krajowej,0,Przedmiotem sprzedaży jest 3- pokojowe mieszkanie położone na Ratajach na Osiedlu Armii Krajowej usytuowane na XIV piętrze w WYSOKIM BLOKU. Łączny metraż mieszkania wynosi 79m2.Układ pomieszczeń niezależny. Pokoje o powierzchni 25; 12 4 i 11 6...
277,239000,2,47,4,Poznań ul. Łokietka Osiedle,0,Polecam do sprzedaży 2-pokojowe mieszkanie położone na 4 piętrze w ocieplonym niskim bloku na os. Łokietka. Powierzchnia mieszkania wynosi 45 4 m2 i składa się z: jasnej kuchni pokoju dziennego z wyjściem na loggię (ok. 20 m2) sypialni (ok. 10...
1117,269000,2,45,4,Poznań Piątkowo Winogrady Sołacz Naramow ul. Batorego - Polecam!!!,1,BEZPIECZNA TRANSAKCJA JEDYNIE Z DOŚWIADCZONYM I LICENCJONOWANYM POŚREDNIKIEM!!! 100 % SATYSFAKCJI Z ZAKUPU!!! Polecam do zakupu mieszkanie 2 pokojowe położone na Piątkowie ( os. Batorego ). Na 45 m2 składają się dwa ustawne pokoje oddzielna...
1694,289000,3,53,4,Poznań Grunwald,0,Gorąco zachęcam do zapoznania się z ofertą sprzedaży 3 pokojowego słonecznego mieszkania o niezależnym – idealnym pod wynajem – układzie pokoi z kuchnią łazienką i WC – po remoncie na 4 piętrze niskiego odnowionego zarządzanego przez...
323,200000,1,29,2,Poznań Grunwald,0,UWAGA! OFERTA W PROGRAMIE 0% PROWIZJI . KOSZTY UMOWY POŚREDNICTWA PONOSI WŁAŚCICIEL NIERUCHOMOŚCI. | Na sprzedaż nowe mieszkanie z możliwością dodania tarasu o powierzchni 12 m2 wydzielenia małej sypialni. Wewnątrz 2 okna balkonowe o...
